noise_step,rho,layer,layer_pos,mean_cosine,n_images,variant,exclude_classifier
800,0.8,features.5.10,19,0.05730798060889356,20,with_classifier,False
800,0.8,features.5.11,20,0.05451067197427619,20,with_classifier,False
800,0.8,features.5.12,21,0.05242904456681572,20,with_classifier,False
800,0.8,features.5.13,22,0.051269717996474354,20,with_classifier,False
800,0.8,features.5.14,23,0.050319299298571415,20,with_classifier,False
800,0.8,features.5.15,24,0.047961682628374545,20,with_classifier,False
800,0.8,features.5.16,25,0.04739956563455053,20,with_classifier,False
800,0.8,features.5.17,26,0.04536206346005202,20,with_classifier,False
800,0.8,features.5.18,27,0.0458131219423376,20,with_classifier,False
800,0.8,features.5.19,28,0.04577668819052633,20,with_classifier,False
800,0.8,features.5.20,29,0.04491245393641293,20,with_classifier,False
800,0.8,features.5.21,30,0.04500072698487202,20,with_classifier,False
800,0.8,features.5.22,31,0.04483277638850268,20,with_classifier,False
800,0.8,features.5.23,32,0.046698906766832804,20,with_classifier,False
800,0.8,features.5.24,33,0.04808936621091561,20,with_classifier,False
800,0.8,features.5.25,34,0.05011427179531893,20,with_classifier,False
800,0.8,features.5.26,35,0.050646208499092606,20,with_classifier,False
800,0.8,features.6,36,0.04244120915114763,20,with_classifier,False
800,0.8,features.7.0,37,0.04189830988732865,20,with_classifier,False
800,0.8,features.7.1,38,0.040626867734390545,20,with_classifier,False
800,0.8,features.7.2,39,0.0379939334464143,20,with_classifier,False
800,0.8,classifier,40,0.11789707108982839,20,with_classifier,False
999,0.999,features.0,0,0.013894275276106783,20,with_classifier,False
999,0.999,features.1.0,1,0.027211759553174487,20,with_classifier,False
999,0.999,features.1.1,2,0.0447485817654524,20,with_classifier,False
999,0.999,features.1.2,3,0.04228898721048609,20,with_classifier,False
999,0.999,features.2,4,0.034043700043694114,20,with_classifier,False
999,0.999,features.3.0,5,0.03167578958556987,20,with_classifier,False
999,0.999,features.3.1,6,0.033153828773647545,20,with_classifier,False
999,0.999,features.3.2,7,0.032438263712101616,20,with_classifier,False
999,0.999,features.4,8,0.04199371318885824,20,with_classifier,False
999,0.999,features.5.0,9,0.03936602999456227,20,with_classifier,False
999,0.999,features.5.1,10,0.03622848275932483,20,with_classifier,False
999,0.999,features.5.2,11,0.035791102452203634,20,with_classifier,False
999,0.999,features.5.3,12,0.035753302736848125,20,with_classifier,False
999,0.999,features.5.4,13,0.037213194310897965,20,with_classifier,False
999,0.999,features.5.5,14,0.03639474334951956,20,with_classifier,False
999,0.999,features.5.6,15,0.03606114842928946,20,with_classifier,False
999,0.999,features.5.7,16,0.03458112969761714,20,with_classifier,False
999,0.999,features.5.8,17,0.03323202386382036,20,with_classifier,False
999,0.999,features.5.9,18,0.032124490503920244,20,with_classifier,False
999,0.999,features.5.10,19,0.031189676915528253,20,with_classifier,False
999,0.999,features.5.11,20,0.030095285550924018,20,with_classifier,False
999,0.999,features.5.12,21,0.029710865748347713,20,with_classifier,False
999,0.999,features.5.13,22,0.029128502975800073,20,with_classifier,False
999,0.999,features.5.14,23,0.029398974354262464,20,with_classifier,False
