noise_step,rho,image_name,group,auc,half_life
999,0.999,ILSVRC2012_val_00010733,high,0.02934745030621222,0.005064752146119782
999,0.999,ILSVRC2012_val_00014541,low,0.016560516838430586,0.005068648494417418
999,0.999,ILSVRC2012_val_00014541,high,0.04386137978697662,0.005200190118448253
999,0.999,ILSVRC2012_val_00018922,low,0.02073645362653769,0.005357845245083562
999,0.999,ILSVRC2012_val_00018922,high,0.04007079393007249,0.005153925142195739
999,0.999,ILSVRC2012_val_00025924,low,0.027628805173725898,0.0051556611374273375
999,0.999,ILSVRC2012_val_00025924,high,0.04088124819088262,0.005148505219736433
999,0.999,ILSVRC2012_val_00027450,low,0.019296233376973154,0.005031044404076728
999,0.999,ILSVRC2012_val_00027450,high,0.05203230904845986,0.005218569867639315
999,0.999,ILSVRC2012_val_00029063,low,0.02431855505348843,0.005154728921027665
999,0.999,ILSVRC2012_val_00029063,high,0.04960321330704028,0.0052574685910088455
999,0.999,ILSVRC2012_val_00030419,low,0.02575531310153504,0.0051012523220731465
999,0.999,ILSVRC2012_val_00030419,high,0.043120939617472084,0.0051447724654227036
999,0.999,ILSVRC2012_val_00030425,low,0.036554723500254724,0.0050330359991039
999,0.999,ILSVRC2012_val_00030425,high,0.03306031460741845,0.005227833832540067
999,0.999,ILSVRC2012_val_00035318,low,0.032411271594406585,0.0053119449892319115
999,0.999,ILSVRC2012_val_00035318,high,0.028536803401841712,0.0051136684995182185
999,0.999,ILSVRC2012_val_00035574,low,0.016561831671919214,0.0050887898178732975
999,0.999,ILSVRC2012_val_00035574,high,0.03854401882421613,0.005266928767068238
999,0.999,ILSVRC2012_val_00036158,low,0.026888957699042905,0.005190779619627917
999,0.999,ILSVRC2012_val_00036158,high,0.01891324268320265,0.00503475432205101
999,0.999,ILSVRC2012_val_00041330,low,0.0033916331156312205,0.004978639172509629
999,0.999,ILSVRC2012_val_00041330,high,0.030167294677288743,0.0051261732295645535
999,0.999,ILSVRC2012_val_00048463,low,0.027733762970155416,0.0051610716655375085
999,0.999,ILSVRC2012_val_00048463,high,0.03914907441235846,0.005163521390504486
